Time_Min,Voltage(V),Current(A),Resistance(Ohm),Power(kW),Temp(C),Temp_Rise(C),Calculated_Energy(kWh),Tuya_Raw_Energy(kWh)
0.0,230.0,13,17.69,2.99,25,0,0.0,47.51
0.02,230.0,13,17.69,2.99,25,0,0.0012,47.51
0.06,230.0,13,17.69,2.99,25,0,0.0028,47.51
0.08,230.0,13,17.69,2.99,25,0,0.004,47.51
0.1,230.0,13,17.69,2.99,25,0,0.0051,47.51
0.13,230.0,13,17.69,2.99,25,0,0.0063,47.51
0.15,230.0,13,17.69,2.99,25,0,0.0076,47.51
0.18,230.0,13,17.69,2.99,25,0,0.0088,47.51
0.2,230.0,13,17.69,2.99,25,0,0.0101,47.51
0.22,230.0,13,17.69,2.99,25,0,0.0111,47.51
0.25,230.0,13,17.69,2.99,25,0,0.0124,47.51
0.27,230.0,13,17.69,2.99,25,0,0.0135,47.51
0.29,230.0,13,17.69,2.99,25,0,0.0146,47.51
0.32,230.0,13,17.69,2.99,25,0,0.0159,47.51
0.34,230.0,13,17.69,2.99,25,0,0.017,47.51
0.37,230.0,13,17.69,2.99,25,0,0.0182,47.51
0.39,230.0,13,17.69,2.99,25,0,0.0193,47.51
0.41,230.0,13,17.69,2.99,25,0,0.0204,47.51
0.43,230.0,13,17.69,2.99,25,0,0.0216,47.51
0.46,230.0,13,17.69,2.99,25,0,0.0227,47.51
0.48,230.0,13,17.69,2.99,25,0,0.0239,47.51
0.51,230.0,13,17.69,2.99,25,0,0.0252,47.51
0.53,230.0,13,17.69,2.99,25,0,0.0263,47.51
0.55,230.0,13,17.69,2.99,25,0,0.0275,47.51
0.57,230.0,13,17.69,2.99,25,0,0.0286,47.51
0.6,230.0,13,17.69,2.99,25,0,0.0297,47.51
0.62,230.0,13,17.69,2.99,25,0,0.0309,47.51
0.64,230.0,13,17.69,2.99,25,0,0.032,47.51
0.67,230.0,13,17.69,2.99,25,0,0.0333,47.51
0.69,230.0,13,17.69,2.99,25,0,0.0344,47.51
0.71,230.0,13,17.69,2.99,25,0,0.0356,47.51
0.73,230.0,13,17.69,2.99,25,0,0.0366,47.51
0.76,230.0,13,17.69,2.99,25,0,0.0377,47.51
0.78,230.0,13,17.69,2.99,25,0,0.0388,47.51
0.8,230.0,13,17.69,2.99,25,0,0.0399,47.51
0.82,230.0,13,17.69,2.99,25,0,0.0411,47.51
0.85,230.0,13,17.69,2.99,25,0,0.0422,47.51
0.87,230.0,13,17.69,2.99,25,0,0.0433,47.51
0.89,230.0,13,17.69,2.99,25,0,0.0445,47.6
0.91,230.0,13,17.69,2.99,25,0,0.0456,47.6
0.94,230.0,13,17.69,2.99,25,0,0.0468,47.6
0.96,230.0,13,17.69,2.99,25,0,0.0479,47.6
0.98,230.0,13,17.69,2.99,25,0,0.049,47.6
1.01,230.0,13,17.69,2.99,25,0,0.0502,47.6
1.03,230.0,13,17.69,2.99,25,0,0.0513,47.6
1.05,230.0,13,17.69,2.99,25,0,0.0524,47.6
1.08,230.0,13,17.69,2.99,25,0,0.0537,47.6
1.1,230.0,13,17.69,2.99,25,0,0.055,47.6
1.13,230.0,13,17.69,2.99,25,0,0.0563,47.6
1.15,230.0,13,17.69,2.99,25,0,0.0575,47.6
1.18,230.0,13,17.69,2.99,25,0,0.0586,47.6
1.2,230.0,13,17.69,2.99,25,0,0.0598,47.6
1.22,230.0,13,17.69,2.99,25,0,0.0609,47.6
1.24,230.0,13,17.69,2.99,25,0,0.062,47.6
1.27,230.0,13,17.69,2.99,25,0,0.0632,47.6
1.29,230.0,13,17.69,2.99,25,0,0.0643,47.6
1.32,230.0,13,17.69,2.99,25,0,0.0655,47.6
1.34,230.0,13,17.69,2.99,25,0,0.0668,47.6
1.36,230.0,13,17.69,2.99,25,0,0.0678,47.6
1.39,230.0,13,17.69,2.99,25,0,0.0691,47.6
1.41,230.0,13,17.69,2.99,25,0,0.0704,47.6
1.43,230.0,13,17.69,2.99,25,0,0.0715,47.6
1.45,230.0,13,17.69,2.99,25,0,0.0725,47.6
1.48,230.0,13,17.69,2.99,25,0,0.0736,47.6
1.5,230.0,13,17.69,2.99,25,0,0.0748,47.6
1.53,230.0,13,17.69,2.99,25,0,0.076,47.6
1.55,230.0,13,17.69,2.99,25,0,0.0772,47.6
1.57,230.0,13,17.69,2.99,25,0,0.0782,47.6
1.59,230.0,13,17.69,2.99,25,0,0.0794,47.6
1.62,230.0,13,17.69,2.99,25,0,0.0806,47.6
1.64,230.0,13,17.69,2.99,25,0,0.0817,47.6
1.66,230.0,13,17.69,2.99,25,0,0.0828,47.6
1.69,230.0,13,17.69,2.99,25,0,0.0842,47.6
1.71,230.0,13,17.69,2.99,25,0,0.0853,47.6
1.73,230.0,13,17.69,2.99,25,0,0.0864,47.6
1.76,230.0,13,17.69,2.99,25,0,0.0876,47.6
1.78,230.0,13,17.69,2.99,25,0,0.0887,47.6
1.81,230.0,13,17.69,2.99,25,0,0.0901,47.6
1.83,230.0,13,17.69,2.99,25,0,0.0912,47.6
1.85,230.0,13,17.69,2.99,25,0,0.0923,47.6
1.88,230.0,13,17.69,2.99,25,0,0.0935,47.6
1.9,230.0,13,17.69,2.99,25,0,0.0946,47.6
1.92,230.0,13,17.69,2.99,25,0,0.0957,47.6
1.94,230.0,13,17.69,2.99,25,0,0.0967,47.6
