Time_Min,Voltage(V),Current(A),Resistance(Ohm),Power(kW),Temp(C),Temp_Rise(C),Calculated_Energy(kWh),Tuya_Raw_Energy(kWh)
0.0,230.0,8,28.75,1.84,29,0,0.0,3.42
0.02,230.0,8,28.75,1.84,29,0,0.0007,3.42
0.04,230.0,8,28.75,1.84,29,0,0.0014,3.42
0.07,230.0,8,28.75,1.84,29,0,0.0021,3.42
0.09,230.0,8,28.75,1.84,29,0,0.0027,3.42
0.11,230.0,8,28.75,1.84,29,0,0.0034,3.42
0.13,230.0,8,28.75,1.84,29,0,0.0041,3.42
0.16,230.0,8,28.75,1.84,29,0,0.0048,3.42
0.18,230.0,8,28.75,1.84,29,0,0.0056,3.42
0.2,230.0,8,28.75,1.84,29,0,0.0062,3.42
0.23,230.0,8,28.75,1.84,29,0,0.0069,3.42
0.25,230.0,8,28.75,1.84,29,0,0.0076,3.42
0.27,230.0,8,28.75,1.84,29,0,0.0083,3.42
0.29,230.0,8,28.75,1.84,29,0,0.009,3.42
0.32,230.0,8,28.75,1.84,29,0,0.0097,3.42
0.34,230.0,8,28.75,1.84,29,0,0.0104,3.42
0.36,230.0,8,28.75,1.84,29,0,0.0111,3.42
0.38,230.0,8,28.75,1.84,29,0,0.0117,3.42
0.41,230.0,8,28.75,1.84,29,0,0.0124,3.42
0.43,230.0,8,28.75,1.84,29,0,0.0131,3.42
0.45,230.0,8,28.75,1.84,29,0,0.0138,3.42
0.47,230.0,8,28.75,1.84,29,0,0.0145,3.42
0.49,230.0,8,28.75,1.84,29,0,0.0151,3.42
0.52,230.0,8,28.75,1.84,29,0,0.0158,3.42
0.54,230.0,8,28.75,1.84,29,0,0.0165,3.42
0.56,230.0,8,28.75,1.84,29,0,0.0172,3.42
0.58,230.0,8,28.75,1.84,29,0,0.0179,3.42
0.6,230.0,8,28.75,1.84,29,0,0.0185,3.42
0.63,230.0,8,28.75,1.84,29,0,0.0192,3.42
0.65,230.0,8,28.75,1.84,29,0,0.0199,3.42
0.67,230.0,8,28.75,1.84,29,0,0.0206,3.42
0.7,230.0,8,28.75,1.84,29,0,0.0213,3.42
0.72,230.0,8,28.75,1.84,29,0,0.022,3.42
0.74,230.0,8,28.75,1.84,29,0,0.0227,3.42
0.76,230.0,8,28.75,1.84,29,0,0.0234,3.42
0.78,230.0,8,28.75,1.84,29,0,0.024,3.42
0.81,230.0,8,28.75,1.84,29,0,0.0247,3.42
0.83,230.0,8,28.75,1.84,29,0,0.0254,3.42
0.85,230.0,8,28.75,1.84,29,0,0.0261,3.42
0.87,230.0,8,28.75,1.84,29,0,0.0268,3.42
0.89,230.0,8,28.75,1.84,29,0,0.0274,3.42
0.92,230.0,8,28.75,1.84,29,0,0.0282,3.42
0.94,230.0,8,28.75,1.84,29,0,0.0289,3.42
0.96,230.0,8,28.75,1.84,29,0,0.0295,3.42
0.99,230.0,8,28.75,1.84,29,0,0.0302,3.42
