Time_Min,Voltage(V),Current(A),Resistance(Ohm),Power(kW),Temp(C),Temp_Rise(C),Calculated_Energy(kWh),Tuya_Raw_Energy(kWh)
0.0,219.7,0.0,0.0,0.0,32.0,0.0,0.0,7e-05
0.0167,217.7,0.02,10885.0,0.0044,32.1,0.1,1e-06,-2.5e-05
0.0333,220.2,0.04,5505.0,0.0088,32.1,0.1,4e-06,0.00012
0.05,220.1,0.21,1048.1,0.0462,31.8,-0.2,1.7e-05,-8.5e-05
0.0667,221.9,0.18,1232.78,0.0399,32.1,0.1,2.8e-05,1.8e-05
0.0833,217.8,0.26,837.69,0.0566,32.0,0.0,4.3e-05,9.3e-05
0.1,219.6,0.35,627.43,0.0769,32.2,0.2,6.5e-05,9.1e-05
0.1167,218.3,0.37,590.0,0.0808,32.3,0.3,8.7e-05,-6.3e-05
0.1333,219.0,0.0,0.0,0.0,31.9,-0.1,8.7e-05,0.000176
0.15,218.1,0.43,507.21,0.0938,32.5,0.5,0.000113,1.5e-05
0.1667,219.5,0.35,627.14,0.0768,32.3,0.3,0.000134,0.000219
0.1833,220.4,0.49,449.8,0.108,32.5,0.5,0.000164,0.000216
0.2,218.8,0.34,643.53,0.0744,32.2,0.2,0.000185,0.000239
0.2167,223.4,0.43,519.53,0.0961,32.1,0.1,0.000212,0.000106
0.2333,222.0,0.62,358.06,0.1376,32.5,0.5,0.00025,0.000339
0.25,219.7,0.76,289.08,0.167,32.0,0.0,0.000296,0.000249
0.2667,217.7,0.72,302.36,0.1567,32.4,0.4,0.00034,0.000372
0.2833,221.0,0.57,387.72,0.126,32.6,0.6,0.000375,0.000615
0.3,219.0,0.75,292.0,0.1643,32.3,0.3,0.000421,0.000346
0.3167,219.0,0.83,263.86,0.1818,32.5,0.5,0.000471,0.000555
0.3333,219.4,0.62,353.87,0.136,32.0,0.0,0.000509,0.000411
0.35,220.5,0.68,324.26,0.1499,33.0,1.0,0.000551,0.00056
0.3667,220.1,0.84,262.02,0.1849,33.0,1.0,0.000602,0.000703
0.3833,218.3,0.87,250.92,0.1899,33.0,1.0,0.000655,0.000706
0.4,219.8,1.05,209.33,0.2308,33.3,1.3,0.000719,0.000697
0.4167,220.0,1.15,191.3,0.253,32.6,0.6,0.000789,0.000692
0.4333,221.9,0.92,241.2,0.2041,33.0,1.0,0.000846,0.000932
0.45,220.9,0.62,356.29,0.137,33.0,1.0,0.000884,0.000846
0.4667,219.8,0.92,238.91,0.2022,33.4,1.4,0.00094,0.000853
0.4833,221.8,0.99,224.04,0.2196,32.8,0.8,0.001001,0.000985
0.5,217.9,1.1,198.09,0.2397,33.0,1.0,0.001068,0.000968
0.5167,219.8,1.26,174.44,0.2769,33.7,1.7,0.001144,0.001195
0.5333,217.8,1.36,160.15,0.2962,33.0,1.0,0.001227,0.001284
0.55,217.2,1.46,148.77,0.3171,33.4,1.4,0.001315,0.0014
0.5667,220.8,1.46,151.23,0.3224,33.1,1.1,0.001404,0.00138
0.5833,220.0,1.08,203.7,0.2376,33.1,1.1,0.00147,0.001702
0.6,220.2,1.21,181.98,0.2664,32.7,0.7,0.001544,0.001536
0.6167,221.0,1.38,160.14,0.305,33.7,1.7,0.001629,0.001657
0.6333,220.4,1.21,182.15,0.2667,33.5,1.5,0.001703,0.001786
0.65,221.4,1.31,169.01,0.29,33.4,1.4,0.001784,0.001889
0.6667,220.6,1.64,134.51,0.3618,33.5,1.5,0.001884,0.002137
0.6833,219.2,1.52,144.21,0.3332,33.5,1.5,0.001977,0.002165
0.7,220.5,1.54,143.18,0.3396,33.8,1.8,0.002071,0.002061
0.7167,220.1,1.3,169.31,0.2861,33.6,1.6,0.002151,0.002133
0.7333,220.6,1.73,127.51,0.3816,33.3,1.3,0.002257,0.002354
0.75,217.4,1.6,135.88,0.3478,33.7,1.7,0.002353,0.002396
0.7667,220.4,1.56,141.28,0.3438,33.8,1.8,0.002449,0.00244
0.7833,221.2,1.76,125.68,0.3893,33.5,1.5,0.002557,0.002646
0.8,223.0,1.74,128.16,0.388,33.2,1.2,0.002665,0.002787
0.8167,219.5,1.73,126.88,0.3797,34.4,2.4,0.00277,0.002825
0.8333,219.0,2.15,101.86,0.4708,33.9,1.9,0.002901,0.00291
0.85,219.7,1.75,125.54,0.3845,33.8,1.8,0.003008,0.003088
0.8667,222.6,1.57,141.78,0.3495,33.9,1.9,0.003105,0.003341
0.8833,220.0,1.77,124.29,0.3894,34.9,2.9,0.003213,0.00319
0.9,218.8,1.73,126.47,0.3785,34.2,2.2,0.003318,0.003454
0.9167,219.2,2.19,100.09,0.48,33.6,1.6,0.003451,0.003477
0.9333,220.3,2.22,99.23,0.4891,33.5,1.5,0.003587,0.003656
0.95,222.8,2.28,97.72,0.508,34.3,2.3,0.003728,0.003834
0.9667,218.3,1.92,113.7,0.4191,34.2,2.2,0.003845,0.003972
0.9833,218.8,2.23,98.12,0.4879,33.9,1.9,0.00398,0.003982
1.0,220.5,2.0,110.25,0.441,33.6,1.6,0.004103,0.004152
1.0167,221.8,2.28,97.28,0.5057,34.4,2.4,0.004243,0.004428
1.0333,218.4,2.19,99.73,0.4783,34.2,2.2,0.004376,0.004616
1.05,220.3,2.43,90.66,0.5353,35.5,3.5,0.004525,0.004612
1.0667,220.0,2.41,91.29,0.5302,34.5,2.5,0.004672,0.004997
1.0833,217.4,2.58,84.26,0.5609,34.5,2.5,0.004828,0.004967
1.1,217.5,2.51,86.65,0.5459,33.9,1.9,0.00498,0.004889
1.1167,219.3,2.42,90.62,0.5307,34.8,2.8,0.005127,0.005153
1.1333,216.5,2.28,94.96,0.4936,34.8,2.8,0.005264,0.005406
1.15,220.7,2.65,83.28,0.5849,34.7,2.7,0.005427,0.00567
1.1667,218.5,2.52,86.71,0.5506,34.7,2.7,0.00558,0.005633
1.1833,219.7,2.25,97.64,0.4943,35.0,3.0,0.005717,0.005795
1.2,220.0,2.5,88.0,0.55,35.4,3.4,0.00587,0.005991
1.2167,218.6,2.57,85.06,0.5618,35.0,3.0,0.006026,0.00602
1.2333,219.5,2.66,82.52,0.5839,35.6,3.6,0.006188,0.006406
